prompt_variant,word_normalized,feature_text_normalized,feature_text_example,response_frequency,valid_response_count,response_proportion
A,canon,can be found in historical forts,can be found in historical forts,1,20,0.05
A,canon,can be found in historical museums and battlefields,can be found in historical museums and battlefields,1,20,0.05
A,canon,can be found in historical reenactments,can be found in historical reenactments,3,20,0.15
A,canon,can be found in historical sites and museums,can be found in historical sites and museums,1,20,0.05
A,canon,can be found in museums and historical sites,can be found in museums and historical sites,1,20,0.05
A,canon,can be found in museums and on old warships,can be found in museums and on old warships,1,20,0.05
A,canon,can be found in museums or on old warships,can be found in museums or on old warships,1,20,0.05
A,canon,can be heard from far away,can be heard from far away,3,20,0.15
A,canon,can be very loud when fired,can be very loud when fired,1,20,0.05
A,canon,can produce a loud booming sound when fired,can produce a loud booming sound when fired,1,20,0.05
A,canon,can refer to a body of accepted works in literature or art,can refer to a body of accepted works in literature or art,1,20,0.05
A,canon,can refer to a body of work in literature or music,can refer to a body of work in literature or music,2,20,0.1
A,canon,emits a loud boom when fired,emits a loud boom when fired,1,20,0.05
A,canon,featured in historical reenactments,featured in historical reenactments,1,20,0.05
A,canon,fired using gunpowder,fired using gunpowder,1,20,0.05
A,canon,fired using gunpowder and projectiles,fired using gunpowder and projectiles,2,20,0.1
A,canon,fired using gunpowder to launch projectiles,fired using gunpowder to launch projectiles,1,20,0.05
A,canon,fires heavy projectiles,fires heavy projectiles,5,20,0.25
A,canon,fires heavy projectiles or cannonballs,fires heavy projectiles or cannonballs,4,20,0.2
A,canon,fires heavy projectiles or shells,fires heavy projectiles or shells,1,20,0.05
A,canon,fires heavy projectiles over long distances,fires heavy projectiles over long distances,5,20,0.25
A,canon,fires projectiles over long distances,fires projectiles over long distances,1,20,0.05
A,canon,found in historical forts and castles,found in historical forts and castles,1,20,0.05
A,canon,has a long barrel,has a long barrel,6,20,0.3
A,canon,has a long barrel and a distinctive shape,has a long barrel and a distinctive shape,3,20,0.15
A,canon,has a long barrel for accuracy,has a long barrel for accuracy,2,20,0.1
A,canon,has a long barrel for accurate firing,has a long barrel for accurate firing,1,20,0.05
A,canon,historically significant in military history,historically significant in military history,4,20,0.2
A,canon,historically significant in naval warfare,historically significant in naval warfare,1,20,0.05
A,canon,"in photography, a brand known for cameras and lenses","in photography, a brand known for cameras and lenses",1,20,0.05
A,canon,loud and powerful when fired,loud and powerful when fired,1,20,0.05
A,canon,"made of metal, often bronze or iron","made of metal, often bronze or iron",1,20,0.05
A,canon,"made of metal, typically bronze or iron","made of metal, typically bronze or iron",1,20,0.05
A,canon,"made of metal, typically iron or bronze","made of metal, typically iron or bronze",1,20,0.05
A,canon,"made of metal, usually iron or steel","made of metal, usually iron or steel",2,20,0.1
A,canon,often depicted in historical movies and documentaries,often depicted in historical movies and documentaries,1,20,0.05
A,canon,often made of metal,often made of metal,5,20,0.25
A,canon,"often made of metal, such as iron or bronze","often made of metal, such as iron or bronze",2,20,0.1
A,canon,"often made of metal, such as iron or steel","often made of metal, such as iron or steel",3,20,0.15
A,canon,"often made of metal, typically iron or bronze","often made of metal, typically iron or bronze",1,20,0.05
A,canon,"often made of metal, usually bronze or iron","often made of metal, usually bronze or iron",1,20,0.05
A,canon,often mounted on a carriage for mobility,often mounted on a carriage for mobility,2,20,0.1
A,canon,often mounted on a wheeled carriage,often mounted on a wheeled carriage,5,20,0.25
A,canon,often seen in historical reenactments,often seen in historical reenactments,1,20,0.05
A,canon,part of military parades,part of military parades,1,20,0.05
A,canon,part of naval armament on warships,part of naval armament on warships,1,20,0.05
A,canon,produces a loud boom when fired,produces a loud boom when fired,6,20,0.3
A,canon,requires a crew to load and fire,requires a crew to load and fire,1,20,0.05
A,canon,requires a crew to load and operate,requires a crew to load and operate,3,20,0.15
A,canon,requires a crew to operate,requires a crew to operate,4,20,0.2
A,canon,requires a crew to operate and load,requires a crew to operate and load,1,20,0.05
A,canon,requires a crew to operate effectively in battle,requires a crew to operate effectively in battle,1,20,0.05
A,canon,requires a team to load and fire,requires a team to load and fire,1,20,0.05
A,canon,requires gunpowder to fire,requires gunpowder to fire,4,20,0.2
A,canon,requires gunpowder to operate,requires gunpowder to operate,1,20,0.05
A,canon,smoke is produced when fired,smoke is produced when fired,1,20,0.05
A,canon,sometimes used in ceremonial events,sometimes used in ceremonial events,2,20,0.1
A,canon,symbolic in military parades,symbolic in military parades,1,20,0.05
A,canon,symbolic in military parades and ceremonies,symbolic in military parades and ceremonies,3,20,0.15
A,canon,symbolizes military power and authority,symbolizes military power and authority,1,20,0.05
A,canon,symbolizes military power and defense,symbolizes military power and defense,3,20,0.15
A,canon,symbolizes power and authority,symbolizes power and authority,3,20,0.15
A,canon,symbolizes power and military strength,symbolizes power and military strength,4,20,0.2
A,canon,symbolizes power and strength,symbolizes power and strength,1,20,0.05
A,canon,used historically by naval ships and fortifications,used historically by naval ships and fortifications,1,20,0.05
A,canon,used historically in battles and sieges,used historically in battles and sieges,3,20,0.15
A,canon,used historically in naval warfare,used historically in naval warfare,3,20,0.15
A,canon,used in battles and wars,used in battles and wars,13,20,0.65
A,canon,used in battles during the middle ages and later,used in battles during the Middle Ages and later,1,20,0.05
A,canon,used in battles from medieval times to the early 20th century,used in battles from medieval times to the early 20th century,1,20,0.05
A,canon,used in ceremonial events,used in ceremonial events,1,20,0.05
A,canon,used in ceremonial events for salutes,used in ceremonial events for salutes,1,20,0.05
A,canon,"used in ceremonial events, like salutes","used in ceremonial events, like salutes",1,20,0.05
A,canon,"used in ceremonial events, like ship salutes","used in ceremonial events, like ship salutes",1,20,0.05
A,canon,used in ceremonies and salutes,used in ceremonies and salutes,1,20,0.05
A,canon,used in historical battles and wars,used in historical battles and wars,1,20,0.05
A,canon,"used in historical contexts, like the american civil war","used in historical contexts, like the American Civil War",2,20,0.1
A,canon,used in historical reenactments,used in historical reenactments,2,20,0.1
A,canon,used in historical reenactments and ceremonies,used in historical reenactments and ceremonies,1,20,0.05
A,canon,used in military conflicts,used in military conflicts,1,20,0.05
A,canon,used in naval warfare,used in naval warfare,3,20,0.15
A,canon,used in naval warfare on ships,used in naval warfare on ships,4,20,0.2
A,canon,used in reenactments and historical events,used in reenactments and historical events,1,20,0.05
A,canon,used in religious contexts for official rules or laws,used in religious contexts for official rules or laws,1,20,0.05
A,canon,"used in religious contexts, such as church cannon law","used in religious contexts, such as church cannon law",1,20,0.05
A,canon,used in warfare and naval battles,used in warfare and naval battles,1,20,0.05
A,cap,adjustable or fixed size,Adjustable or fixed size,3,20,0.15
A,cap,can be a fashion accessory,can be a fashion accessory,1,20,0.05
A,cap,can be a symbol of a profession or team,can be a symbol of a profession or team,1,20,0.05
A,cap,can be a symbol of a team or organization,can be a symbol of a team or organization,1,20,0.05
A,cap,can be adjustable,can be adjustable,2,20,0.1
A,cap,can be adjustable or fitted,can be adjustable or fitted,4,20,0.2
A,cap,can be adjusted for size,can be adjusted for size,1,20,0.05
A,cap,can be adjusted to fit different head sizes,can be adjusted to fit different head sizes,3,20,0.15
A,cap,can be adjusted with a strap,can be adjusted with a strap,1,20,0.05
A,cap,can be adjusted with a strap or snap buttons,can be adjusted with a strap or snap buttons,1,20,0.05
A,cap,can be decorative,can be decorative,1,20,0.05
A,cap,can be embroidered with logos,can be embroidered with logos,1,20,0.05
A,cap,can be embroidered with logos or text,can be embroidered with logos or text,1,20,0.05
A,cap,can be formal or casual,can be formal or casual,5,20,0.25
A,cap,can be formal or informal,can be formal or informal,2,20,0.1
A,cap,"can be formal, like a graduation cap","can be formal, like a graduation cap",1,20,0.05
A,cap,can be knitted or crocheted,can be knitted or crocheted,1,20,0.05
A,cap,can be made of cloth or plastic,can be made of cloth or plastic,1,20,0.05
A,cap,can be made of fabric or plastic,can be made of fabric or plastic,2,20,0.1
A,cap,can be part of a uniform,can be part of a uniform,10,20,0.5
A,cap,can be used to protect from sun,can be used to protect from sun,1,20,0.05
A,cap,can be used to protect from the sun,can be used to protect from the sun,2,20,0.1
A,cap,can be worn for fashion,can be worn for fashion,2,20,0.1
A,cap,can have a logo or design,can have a logo or design,1,20,0.05
A,cap,can have a visor,can have a visor,3,20,0.15
A,cap,can have a visor or brim,can have a visor or brim,5,20,0.25
A,cap,can have logos or designs,can have logos or designs,1,20,0.05
A,cap,can protect from sun,can protect from sun,3,20,0.15
A,cap,comes in many colors,comes in many colors,8,20,0.4
A,cap,comes in various colors,comes in various colors,3,20,0.15
A,cap,comes in various colors and designs,comes in various colors and designs,8,20,0.4
A,cap,comes in various colors and styles,comes in various colors and styles,1,20,0.05
A,cap,commonly seen in sports and casual settings,commonly seen in sports and casual settings,1,20,0.05
A,cap,commonly worn by both men and women,commonly worn by both men and women,1,20,0.05
A,cap,commonly worn during sports,commonly worn during sports,1,20,0.05
A,cap,keeps hair in place,keeps hair in place,2,20,0.1
A,cap,keeps head warm,keeps head warm,1,20,0.05
A,cap,lightweight and portable,lightweight and portable,1,20,0.05
A,cap,may have a brand logo,may have a brand logo,1,20,0.05
A,cap,may have a logo or brand name,may have a logo or brand name,2,20,0.1
A,cap,may have a snapback closure,may have a snapback closure,1,20,0.05
A,cap,may have a snapback or adjustable strap,may have a snapback or adjustable strap,2,20,0.1
A,cap,may have a snapback or strap,may have a snapback or strap,1,20,0.05
A,cap,may have a visor or brim,may have a visor or brim,1,20,0.05
A,cap,may have ventilation holes for breathability,may have ventilation holes for breathability,1,20,0.05
A,cap,often has a brim,often has a brim,6,20,0.3
A,cap,often has a visor,often has a visor,2,20,0.1
A,cap,often has a visor or brim,often has a visor or brim,3,20,0.15
A,cap,often made of cloth or plastic,often made of cloth or plastic,1,20,0.05
A,cap,often made of fabric,often made of fabric,2,20,0.1
A,cap,often made of fabric or plastic,often made of fabric or plastic,3,20,0.15
A,cap,often used for protection from the sun,often used for protection from the sun,3,20,0.15
A,cap,often used in sports,often used in sports,1,20,0.05
A,cap,often used to show team spirit,often used to show team spirit,1,20,0.05
A,cap,often worn backwards for style,often worn backwards for style,2,20,0.1
A,cap,often worn for fashion,often worn for fashion,1,20,0.05
A,cap,protects from sun,protects from sun,5,20,0.25
A,cap,sometimes adjustable with a strap,sometimes adjustable with a strap,1,20,0.05
A,cap,sometimes embroidered with logos or text,sometimes embroidered with logos or text,1,20,0.05
A,cap,sometimes has a brand logo,sometimes has a brand logo,1,20,0.05
A,cap,sometimes has a logo,sometimes has a logo,2,20,0.1
A,cap,sometimes has a logo or brand name,sometimes has a logo or brand name,4,20,0.2
A,cap,sometimes has a logo or design,sometimes has a logo or design,5,20,0.25
A,cap,sometimes has a snapback or adjustable strap,sometimes has a snapback or adjustable strap,1,20,0.05
A,cap,sometimes worn backwards,sometimes worn backwards,1,20,0.05
A,cap,sometimes worn backwards for style,sometimes worn backwards for style,1,20,0.05
A,cap,used for fashion or sports,used for fashion or sports,1,20,0.05
A,cap,used in sports,used in sports,4,20,0.2
A,cap,used in sports and casual wear,used in sports and casual wear,8,20,0.4
A,cap,used to keep warm in cold weather,used to keep warm in cold weather,1,20,0.05
A,cap,used to protect from sun,used to protect from sun,6,20,0.3
A,cap,usually made of fabric or plastic,usually made of fabric or plastic,11,20,0.55
A,cap,worn during sports activities,worn during sports activities,2,20,0.1
A,cap,worn for fashion,worn for fashion,2,20,0.1
A,cap,worn for fashion or practical reasons,worn for fashion or practical reasons,1,20,0.05
A,cap,worn on the head,worn on the head,20,20,1.0
A,car,can be driven on roads,can be driven on roads,3,20,0.15
A,car,can be driven on roads and highways,can be driven on roads and highways,4,20,0.2
A,car,can be leased or purchased,can be leased or purchased,2,20,0.1
A,car,can be owned or leased,can be owned or leased,2,20,0.1
A,car,can be owned or rented,can be owned or rented,1,20,0.05
A,car,can be parked in garages or lots,can be parked in garages or lots,2,20,0.1
A,car,can have a trunk for storage,can have a trunk for storage,11,20,0.55
A,car,can have different sizes,can have different sizes,1,20,0.05
A,car,can have manual or automatic transmission,can have manual or automatic transmission,2,20,0.1
A,car,comes in various colors,comes in various colors,16,20,0.8
A,car,comes in various colors and sizes,comes in various colors and sizes,4,20,0.2
A,car,controlled with a steering wheel,controlled with a steering wheel,2,20,0.1
A,car,driven on roads,driven on roads,13,20,0.65
A,car,emits exhaust fumes,emits exhaust fumes,3,20,0.15
A,car,has a horn and lights,has a horn and lights,1,20,0.05
A,car,has a steering wheel,has a steering wheel,9,20,0.45
A,car,has a steering wheel and pedals,has a steering wheel and pedals,3,20,0.15
A,car,has an engine,has an engine,12,20,0.6
A,car,has four wheels,has four wheels,20,20,1.0
A,car,has headlights and taillights,has headlights and taillights,3,20,0.15
A,car,has headlights for night driving,has headlights for night driving,1,20,0.05
A,car,has seats for passengers,has seats for passengers,16,20,0.8
A,car,has windows and doors,has windows and doors,2,20,0.1
A,car,often has a gps system,often has a GPS system,1,20,0.05
A,car,often has a radio,often has a radio,1,20,0.05
A,car,often has a radio and air conditioning,often has a radio and air conditioning,2,20,0.1
A,car,often has a steering wheel,often has a steering wheel,1,20,0.05
A,car,often has a trunk for storage,often has a trunk for storage,2,20,0.1
A,car,powered by an engine,powered by an engine,1,20,0.05
A,car,produced by automotive manufacturers,produced by automotive manufacturers,2,20,0.1
A,car,produced by different manufacturers,produced by different manufacturers,2,20,0.1
A,car,produces engine noise,produces engine noise,3,20,0.15
A,car,produces exhaust emissions,produces exhaust emissions,1,20,0.05
A,car,produces exhaust fumes,produces exhaust fumes,4,20,0.2
A,car,requires fuel or electricity,requires fuel or electricity,13,20,0.65
A,car,requires maintenance,requires maintenance,1,20,0.05
A,car,requires regular maintenance,requires regular maintenance,5,20,0.25
A,car,requires regular maintenance and repairs,requires regular maintenance and repairs,1,20,0.05
A,car,runs on gasoline or electricity,runs on gasoline or electricity,7,20,0.35
A,car,used for transportation,used for transportation,20,20,1.0
A,carp,a type of fish,a type of fish,4,20,0.2
A,carp,a type of freshwater fish,a type of freshwater fish,3,20,0.15
A,carp,bottom feeder that stirs up mud,bottom feeder that stirs up mud,1,20,0.05
A,carp,"bottom feeder, eats plants and small animals","bottom feeder, eats plants and small animals",1,20,0.05
A,carp,can be an invasive species in some areas,can be an invasive species in some areas,1,20,0.05
A,carp,can be caught for sport fishing,can be caught for sport fishing,2,20,0.1
A,carp,can be caught using simple fishing techniques,can be caught using simple fishing techniques,1,20,0.05
A,carp,can be farmed for food,can be farmed for food,1,20,0.05
A,carp,can be silver or golden in color,can be silver or golden in color,1,20,0.05
A,carp,can grow quite large,can grow quite large,5,20,0.25
A,carp,"can grow quite large, sometimes over 40 pounds","can grow quite large, sometimes over 40 pounds",1,20,0.05
A,carp,"can grow quite large, up to several feet","can grow quite large, up to several feet",1,20,0.05
A,carp,can grow up to several feet long,can grow up to several feet long,11,20,0.55
A,carp,can reach weights of over 40 pounds,can reach weights of over 40 pounds,1,20,0.05
A,carp,can survive in low-oxygen environments,can survive in low-oxygen environments,8,20,0.4
A,carp,can tolerate low oxygen levels,can tolerate low oxygen levels,2,20,0.1
A,carp,color can vary from silver to bronze,color can vary from silver to bronze,1,20,0.05
A,carp,common in ponds and rivers,common in ponds and rivers,2,20,0.1
A,carp,commonly caught by anglers,commonly caught by anglers,5,20,0.25
A,carp,commonly eaten in many cultures,commonly eaten in many cultures,1,20,0.05
A,carp,commonly eaten in some cultures,commonly eaten in some cultures,2,20,0.1
A,carp,commonly farmed for food,commonly farmed for food,1,20,0.05
A,carp,commonly found in ponds and rivers,commonly found in ponds and rivers,2,20,0.1
A,carp,commonly kept in ornamental ponds and koi ponds,commonly kept in ornamental ponds and koi ponds,1,20,0.05
A,carp,considered a pest in some regions,considered a pest in some regions,1,20,0.05
A,carp,considered an invasive species in some areas,considered an invasive species in some areas,1,20,0.05
A,carp,eaten in many cultures,eaten in many cultures,1,20,0.05
A,carp,eaten in various cuisines,eaten in various cuisines,1,20,0.05
A,carp,eaten in various cuisines around the world,eaten in various cuisines around the world,1,20,0.05
A,carp,eats both plant and animal matter,eats both plant and animal matter,1,20,0.05
A,carp,eats plants and small animals,eats plants and small animals,2,20,0.1
A,carp,has a barbel around its mouth,has a barbel around its mouth,4,20,0.2
A,carp,has a barbel near its mouth,has a barbel near its mouth,5,20,0.25
A,carp,has a bony structure that can make cleaning difficult,has a bony structure that can make cleaning difficult,1,20,0.05
A,carp,has a distinctive silvery or bronze color,has a distinctive silvery or bronze color,2,20,0.1
A,carp,"has a distinctive, slightly sweet smell","has a distinctive, slightly sweet smell",1,20,0.05
A,carp,"has a firm, white flesh","has a firm, white flesh",2,20,0.1
A,carp,"has a long, streamlined body","has a long, streamlined body",2,20,0.1
A,carp,has a silvery or bronze color,has a silvery or bronze color,1,20,0.05
A,carp,has a somewhat bony texture,has a somewhat bony texture,1,20,0.05
A,carp,has a somewhat muddy flavor,has a somewhat muddy flavor,2,20,0.1
A,carp,has a somewhat muddy taste,has a somewhat muddy taste,1,20,0.05
A,carp,has a streamlined body shape,has a streamlined body shape,1,20,0.05
A,carp,has barbels near its mouth,has barbels near its mouth,4,20,0.2
A,carp,has barbels near its mouth for sensing food,has barbels near its mouth for sensing food,1,20,0.05
A,carp,has whisker-like barbels around its mouth,has whisker-like barbels around its mouth,1,20,0.05
A,carp,has whisker-like barbels around the mouth,has whisker-like barbels around the mouth,1,20,0.05
A,carp,has whisker-like barbels near its mouth,has whisker-like barbels near its mouth,2,20,0.1
A,carp,has whisker-like barbels near the mouth,has whisker-like barbels near the mouth,1,20,0.05
A,carp,important in aquaculture and pond management,important in aquaculture and pond management,1,20,0.05
A,carp,important in asian cuisine,important in Asian cuisine,2,20,0.1
A,carp,important in asian culture and art,important in Asian culture and art,1,20,0.05
A,carp,"important in asian cultures, symbolizing strength and perseverance","important in Asian cultures, symbolizing strength and perseverance",1,20,0.05
A,carp,introduced to many countries as an invasive species,introduced to many countries as an invasive species,4,20,0.2
A,carp,introduced to many countries for aquaculture,introduced to many countries for aquaculture,1,20,0.05
A,carp,introduced to many countries for sport fishing,introduced to many countries for sport fishing,1,20,0.05
A,carp,introduced to many non-native habitats,introduced to many non-native habitats,1,20,0.05
A,carp,known for being a bottom feeder,known for being a bottom feeder,2,20,0.1
A,carp,known for being a hardy species,known for being a hardy species,1,20,0.05
A,carp,known for being adaptable to various water conditions,known for being adaptable to various water conditions,1,20,0.05
A,carp,known for being bottom feeders,known for being bottom feeders,1,20,0.05
A,carp,known for its ability to grow quickly,known for its ability to grow quickly,1,20,0.05
A,carp,known for its ability to survive in low-oxygen environments,known for its ability to survive in low-oxygen environments,6,20,0.3
A,carp,known for its ability to survive in low-oxygen waters,known for its ability to survive in low-oxygen waters,2,20,0.1
A,carp,known for its ability to tolerate low oxygen levels,known for its ability to tolerate low oxygen levels,1,20,0.05
A,carp,known for its jumping ability,known for its jumping ability,1,20,0.05
A,carp,known for jumping out of water,known for jumping out of water,1,20,0.05
A,carp,known for their ability to grow quickly,known for their ability to grow quickly,1,20,0.05
A,carp,large freshwater fish,large freshwater fish,13,20,0.65
A,carp,often caught by anglers for sport,often caught by anglers for sport,2,20,0.1
A,carp,often considered a nuisance in some areas,often considered a nuisance in some areas,2,20,0.1
A,carp,often considered a nuisance in some ecosystems,often considered a nuisance in some ecosystems,1,20,0.05
A,carp,often found in freshwater lakes and rivers,often found in freshwater lakes and rivers,4,20,0.2
A,carp,often found in lakes and rivers,often found in lakes and rivers,2,20,0.1
A,carp,often found in ponds and lakes,often found in ponds and lakes,1,20,0.05
A,carp,often found in ponds and rivers,often found in ponds and rivers,9,20,0.45
A,carp,often has a barbel near its mouth,often has a barbel near its mouth,1,20,0.05
A,carp,often introduced to control algae growth,often introduced to control algae growth,1,20,0.05
A,carp,popular in asian cuisine and culture,popular in Asian cuisine and culture,1,20,0.05
A,carp,scales are large and often silvery,scales are large and often silvery,1,20,0.05
A,carp,scales are large and round,scales are large and round,1,20,0.05
A,carp,scales are large and thick,scales are large and thick,1,20,0.05
A,carp,scales are relatively large and thick,scales are relatively large and thick,1,20,0.05
A,carp,silver or golden scales,silver or golden scales,1,20,0.05
A,carp,sometimes considered a nuisance in certain ecosystems,sometimes considered a nuisance in certain ecosystems,2,20,0.1
A,carp,sometimes considered a nuisance in ecosystems,sometimes considered a nuisance in ecosystems,1,20,0.05
A,carp,sometimes considered a nuisance species,sometimes considered a nuisance species,3,20,0.15
A,carp,sometimes considered a pest in certain ecosystems,sometimes considered a pest in certain ecosystems,1,20,0.05
A,carp,sometimes considered an invasive species,sometimes considered an invasive species,1,20,0.05
A,carp,used in aquaculture,used in aquaculture,2,20,0.1
A,carp,used in aquaculture and fishing,used in aquaculture and fishing,7,20,0.35
A,carp,"used in cooking, especially in europe and asia","used in cooking, especially in Europe and Asia",1,20,0.05
A,carp,used in traditional chinese and european cuisine,used in traditional Chinese and European cuisine,1,20,0.05
A,carp,used in various cuisines around the world,used in various cuisines around the world,9,20,0.45
A,carriage,associated with fairy tales,associated with fairy tales,1,20,0.05
A,carriage,associated with fairy tales and historical settings,associated with fairy tales and historical settings,1,20,0.05
A,carriage,associated with fairy tales and romance,associated with fairy tales and romance,1,20,0.05
A,carriage,associated with fairy tales and romantic settings,associated with fairy tales and romantic settings,4,20,0.2
A,carriage,associated with fairy tales and royal events,associated with fairy tales and royal events,1,20,0.05
A,carriage,associated with royal or formal events,associated with royal or formal events,1,20,0.05
A,carriage,can be found in fairy tales,can be found in fairy tales,1,20,0.05
A,carriage,can be found in historical movies and theme parks,can be found in historical movies and theme parks,1,20,0.05
A,carriage,can be found in historical museums,can be found in historical museums,1,20,0.05
A,carriage,can be found in museums,can be found in museums,1,20,0.05
A,carriage,can be found in theme parks,can be found in theme parks,1,20,0.05
A,carriage,can be open or enclosed,can be open or enclosed,9,20,0.45
A,carriage,can be ornate and decorated,can be ornate and decorated,7,20,0.35
A,carriage,can be ornate and decorative,can be ornate and decorative,2,20,0.1
A,carriage,can be ornate or simple,can be ornate or simple,1,20,0.05
A,carriage,can carry multiple passengers,can carry multiple passengers,1,20,0.05
A,carriage,can carry passengers,can carry passengers,1,20,0.05
A,carriage,can carry passengers and goods,can carry passengers and goods,2,20,0.1
A,carriage,can carry passengers or goods,can carry passengers or goods,3,20,0.15
A,carriage,can carry people and goods,can carry people and goods,1,20,0.05
A,carriage,can carry people or goods,can carry people or goods,1,20,0.05
A,carriage,can have a canopy or roof,can have a canopy or roof,1,20,0.05
A,carriage,can have a driver's seat up front,can have a driver's seat up front,1,20,0.05
A,carriage,comes in various styles and sizes,comes in various styles and sizes,1,20,0.05
A,carriage,decorative for special occasions,decorative for special occasions,1,20,0.05
A,carriage,decorative in parades,decorative in parades,1,20,0.05
A,carriage,driven by a coachman,driven by a coachman,2,20,0.1
A,carriage,driven by a person sitting in the front,driven by a person sitting in the front,1,20,0.05
A,carriage,driven by a person sitting up front,driven by a person sitting up front,3,20,0.15
A,carriage,driven by a person standing in the front,driven by a person standing in the front,1,20,0.05
A,carriage,driven by a person with reins,driven by a person with reins,3,20,0.15
A,carriage,found in historical movies and books,found in historical movies and books,3,20,0.15
A,carriage,found in museums and historic sites,found in museums and historic sites,1,20,0.05
A,carriage,found in museums and historical sites,found in museums and historical sites,1,20,0.05
A,carriage,has a driver's seat,has a driver's seat,1,20,0.05
A,carriage,has a driver's seat at the front,has a driver's seat at the front,1,20,0.05
A,carriage,has a driver's seat in front,has a driver's seat in front,1,20,0.05
A,carriage,has a driver's seat up front,has a driver's seat up front,1,20,0.05
A,carriage,has seats for passengers,has seats for passengers,9,20,0.45
A,carriage,has wheels,has wheels,20,20,1.0
A,carriage,made of wood and metal,made of wood and metal,9,20,0.45
A,carriage,may have a canopy or roof,may have a canopy or roof,1,20,0.05
A,carriage,may have a driver's seat up front,may have a driver's seat up front,1,20,0.05
A,carriage,may have decorative elements,may have decorative elements,3,20,0.15
A,carriage,often has a canopy or roof,often has a canopy or roof,9,20,0.45
A,carriage,often made of wood,often made of wood,10,20,0.5
A,carriage,often wooden,often wooden,1,20,0.05
A,carriage,pulled by horses,pulled by horses,20,20,1.0
A,carriage,requires a driver,requires a driver,3,20,0.15
A,carriage,sometimes decorated with intricate designs,sometimes decorated with intricate designs,1,20,0.05
A,carriage,used for transportation,used for transportation,6,20,0.3
A,carriage,used for transportation in historical times,used for transportation in historical times,7,20,0.35
A,carriage,used for transportation in the past,used for transportation in the past,7,20,0.35
A,carriage,used in fairy tales,used in fairy tales,1,20,0.05
A,carriage,used in fairy tales and stories,used in fairy tales and stories,3,20,0.15
A,carriage,used in historical settings,used in historical settings,6,20,0.3
A,carriage,used in parades and ceremonies,used in parades and ceremonies,16,20,0.8
A,carriage,varies in design and size,varies in design and size,1,20,0.05
A,cart,can be collapsible,can be collapsible,4,20,0.2
A,cart,can be collapsible for storage,can be collapsible for storage,10,20,0.5
A,cart,can be made of metal or plastic,can be made of metal or plastic,3,20,0.15
A,cart,can be nested with other carts,can be nested with other carts,1,20,0.05
A,cart,can be pushed or pulled,can be pushed or pulled,20,20,1.0
A,cart,can be used for moving heavy objects,can be used for moving heavy objects,1,20,0.05
A,cart,can be used outdoors,can be used outdoors,1,20,0.05
A,cart,can carry heavy loads,can carry heavy loads,1,20,0.05
A,cart,can have a handle for gripping,can have a handle for gripping,1,20,0.05
A,cart,collapsible for storage,collapsible for storage,1,20,0.05
A,cart,comes in different sizes,comes in different sizes,5,20,0.25
A,cart,comes in various sizes,comes in various sizes,2,20,0.1
A,cart,common in grocery stores,common in grocery stores,3,20,0.15
A,cart,common in shopping malls,common in shopping malls,1,20,0.05
A,cart,found in grocery stores,found in grocery stores,14,20,0.7
A,cart,found in shopping malls and markets,found in shopping malls and markets,3,20,0.15
A,cart,found in shopping malls and warehouses,found in shopping malls and warehouses,1,20,0.05
A,cart,has a handle for gripping,has a handle for gripping,1,20,0.05
A,cart,has handles for easy maneuvering,has handles for easy maneuvering,2,20,0.1
A,cart,has wheels,has wheels,20,20,1.0
A,cart,may have a basket or flat surface,may have a basket or flat surface,1,20,0.05
A,cart,may have a handle,may have a handle,4,20,0.2
A,cart,may have a handle for easy maneuvering,may have a handle for easy maneuvering,1,20,0.05
A,cart,may have a handle for gripping,may have a handle for gripping,1,20,0.05
A,cart,often found in grocery stores,often found in grocery stores,2,20,0.1
A,cart,often made of metal or plastic,often made of metal or plastic,17,20,0.85
A,cart,often used in grocery stores,often used in grocery stores,1,20,0.05
A,cart,sometimes has a basket,sometimes has a basket,3,20,0.15
A,cart,sometimes has a handle,sometimes has a handle,4,20,0.2
A,cart,sometimes has a handle for easy maneuvering,sometimes has a handle for easy maneuvering,2,20,0.1
A,cart,sometimes used in outdoor markets,sometimes used in outdoor markets,1,20,0.05
A,cart,used for carrying groceries,used for carrying groceries,1,20,0.05
A,cart,used for carrying items,used for carrying items,15,20,0.75
A,cart,used for moving heavy loads,used for moving heavy loads,3,20,0.15
A,cart,used for moving heavy objects,used for moving heavy objects,11,20,0.55
A,cart,used for shopping,used for shopping,4,20,0.2
A,cart,used for transporting goods,used for transporting goods,2,20,0.1
A,cart,used for transporting items,used for transporting items,5,20,0.25
A,cart,used in moving household items,used in moving household items,1,20,0.05
A,cart,used in shopping,used in shopping,2,20,0.1
A,cart,used in shopping and moving,used in shopping and moving,1,20,0.05
A,cart,used in shopping malls,used in shopping malls,2,20,0.1
A,cart,"used in various settings like home, retail, and industrial","used in various settings like home, retail, and industrial",2,20,0.1
A,cart,"used in various settings like home, stores, and parks","used in various settings like home, stores, and parks",1,20,0.05
A,cart,used in various settings like homes and offices,used in various settings like homes and offices,1,20,0.05
A,cart,used in various settings like homes and warehouses,used in various settings like homes and warehouses,2,20,0.1
A,cart,"used in various settings like homes, shops, and warehouses","used in various settings like homes, shops, and warehouses",1,20,0.05
A,cart,used in warehouses and logistics,used in warehouses and logistics,1,20,0.05
A,cart,varies in size and design,varies in size and design,2,20,0.1
