candidate_index,candidate_id,canonical_feature_text,member_phrases,fixed_v3_1_b_cluster_id,fixed_v3_1_b_order,normalization_version,merge_review_status,fixed_v3_1_b_inventory_hash,source_words,source_prompt_families,source_models,source_rounds,source_ids,n_independent_responses,n_source_words,n_source_models,candidate_inventory_hash
32,v4_3fd02e7e52c552df,found in gardens,"[""can be found in gardens"", ""found in gardens"", ""often found in gardens""]",B_30074097e15c,32,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beetle"", ""blackbird"", ""blindworm"", ""bumblebee"", ""butterfly"", ""caterpillar"", ""centipede"", ""earwig"", ""frog"", ""hedgehog"", ""ladybug"", ""maybug"", ""moth"", ""peacock"", ""shovel"", ""spider"", ""toad"", ""tortoise"", ""wasp"", ""wood louse"", ""worm""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",260,21,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
33,v4_0a6f49a6cd67ef8c,large size,"[""large size""]",B_3089603f232f,33,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""dinosaur"", ""double bass"", ""elephant"", ""harp"", ""horsefly"", ""monitor lizard"", ""orca"", ""peacock"", ""polar bear"", ""swordfish"", ""tiger""]","[""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",126,11,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
34,v4_09e1fed6d74bd678,has a hard shell,"[""hard shell"", ""has a hard shell""]",B_3118553b3e3d,34,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beetle"", ""ladybug"", ""maybug"", ""tortoise"", ""turtle"", ""wood louse""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",220,6,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
35,v4_9210ad0d2694cac8,often used in jazz,"[""is often used in jazz"", ""is used in jazz"", ""often used in jazz"", ""used in jazz""]",B_3415ecaed280,35,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""clarinet"", ""double bass"", ""saxophone"", ""trumpet""]","[""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",49,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
36,v4_ff2e99936cf26900,can be noisy,"[""can be noisy""]",B_34de07539725,36,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bus"", ""drill"", ""fridge"", ""go-cart"", ""helicopter"", ""hovercraft"", ""lawn mower"", ""mixer"", ""motorbike"", ""motorcycle"", ""parakeet"", ""parrot"", ""percolator"", ""saw"", ""skateboard"", ""subway train"", ""tractor"", ""tram"", ""vacuum cleaner""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",211,19,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
37,v4_808522b486ba0d43,has seats,"[""has seating"", ""has seats"", ""seat""]",B_351e55ea16be,37,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""airplane"", ""bicycle"", ""bus"", ""car"", ""carriage"", ""motorbike"", ""motorcycle"", ""plane"", ""subway train"", ""train""]","[""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",64,10,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
38,v4_191e971459c11b27,scales,"[""has scales"", ""scales""]",B_35b7103b694b,38,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""caiman"", ""carp"", ""cobra"", ""dinosaur"", ""gecko"", ""goldfish"", ""iguana"", ""lizard"", ""monitor lizard"", ""python"", ""salmon"", ""snake"", ""trout"", ""viper""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",252,14,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
39,v4_69b8a0c44b520cb1,has many legs,"[""has many legs"", ""many legs""]",B_374a6367e1c4,39,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""caterpillar"", ""centipede"", ""cockroach"", ""wood louse""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",266,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
40,v4_ac28d5cb94e30a01,can be colorful,"[""can be colorful"", ""colorful"", ""often colorful"", ""usually colorful""]",B_37fdfb095520,40,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""(hot air) balloon"", ""bra"", ""butterfly"", ""caterpillar"", ""dragonfly"", ""dress"", ""mittens"", ""moth"", ""pheasant"", ""piranha"", ""scarf"", ""socks"", ""spider"", ""towel""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",130,14,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
41,v4_afdf9d8934d3b705,has wings,"[""has wings"", ""wings""]",B_399a9a997acd,41,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""airplane"", ""bat"", ""bee"", ""blackbird"", ""bumblebee"", ""butterfly"", ""chicken"", ""cricket"", ""dragonfly"", ""fly"", ""fruit fly"", ""grasshopper"", ""horsefly"", ""ladybug"", ""maybug"", ""mosquito"", ""moth"", ""plane"", ""wasp""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",871,19,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
42,v4_7dd566304e292ec9,has four strings,"[""four strings"", ""has four strings""]",B_39f0235d741c,42,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bass guitar"", ""cello"", ""double bass"", ""violin""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",436,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
43,v4_4b235033220b784c,has large eyes,"[""has large eyes"", ""large eyes""]",B_3a17d773ec64,43,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""cat"", ""cod"", ""deer"", ""dragonfly"", ""dromedary"", ""fox"", ""gecko"", ""giraffe"", ""horsefly"", ""lion"", ""llama"", ""ostrich"", ""owl"", ""squid""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",215,14,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
44,v4_9e2970166be09c16,buzzing sound,"[""buzzing sound""]",B_3c0bb8730e3d,44,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bee"", ""bumblebee"", ""fly"", ""fruit fly"", ""horsefly"", ""maybug"", ""mosquito"", ""wasp""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",317,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
45,v4_8e3a49ccca8cf76a,comes in different lengths,"[""come in different lengths"", ""comes in different lengths""]",B_3c5f10fbd5c4,45,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""adjustable spanner"", ""coat"", ""crowbar"", ""dress"", ""level"", ""nail"", ""pants"", ""rope"", ""scarf"", ""shorts"", ""skirt"", ""socks"", ""tie""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",118,13,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
46,v4_df0428c80bc4981e,sharp blade,"[""has a sharp blade"", ""sharp blade"", ""sharp blades""]",B_3ca1ec0fdf55,46,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""axe"", ""can opener"", ""chisel"", ""dagger"", ""knife"", ""pickaxe"", ""pike"", ""saw"", ""scissors"", ""sword""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",686,10,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
47,v4_321b6c86eef14095,migratory,"[""migratory""]",B_3cbdf8e09b39,47,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blackbird"", ""cuckoo"", ""dove"", ""falcon"", ""herring"", ""pelican"", ""robin"", ""salmon"", ""stork"", ""swallow"", ""swan"", ""swordfish""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",111,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
48,v4_b97fc515ee999c99,snake,"[""snake""]",B_3d957dd719c5,48,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""boa"", ""cobra"", ""python"", ""viper""]","[""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",49,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
49,v4_51d6fbe4f773b125,makes a loud noise,"[""makes a loud noise"", ""makes loud noise"", ""makes loud noises""]",B_439d8ff183b9,49,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bazooka"", ""grenade"", ""helicopter"", ""lawn mower"", ""machine gun"", ""monkey"", ""motorbike"", ""pistol"", ""saw"", ""subway train"", ""train"", ""vacuum cleaner""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",136,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
50,v4_859e352aa22a1129,found in kitchens,"[""can be found in kitchens"", ""found in kitchens"", ""often found in kitchens"", ""usually found in kitchens""]",B_451b0c354cd4,50,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bottle"", ""bowl"", ""can opener"", ""cockroach"", ""colander"", ""electric kettle"", ""fork"", ""fridge"", ""fruit fly"", ""grater"", ""kettle"", ""knife"", ""microwave oven"", ""mixer"", ""mug"", ""nutcracker"", ""oven"", ""pan"", ""percolator"", ""plate"", ""pot"", ""scales"", ""scissors"", ""sieve"", ""spatula"", ""spoon"", ""stove"", ""toaster"", ""tongs"", ""whisk""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",1066,30,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
51,v4_bf3ca2dda5b675fe,brakes,"[""brakes"", ""can have brakes"", ""has a brake""]",B_46f2894ac8cc,51,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bicycle"", ""kick scooter"", ""motorbike"", ""motorcycle""]","[""B""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0""]",24,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
52,v4_4d7da89363045ec2,can be washed,"[""can be washed"", ""washed frequently""]",B_47b682907f3a,52,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""apron"", ""bra"", ""jeans"", ""paint brush"", ""pan"", ""panties"", ""pants"", ""place mat"", ""plate"", ""pot"", ""pyjamas"", ""shirt"", ""sieve"", ""t-shirt""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",160,14,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
53,v4_d7006660fdbb680d,camouflage,"[""camouflage"", ""camouflaged"", ""camouflages"", ""can camouflage""]",B_4b51a9a52f5c,53,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""boa"", ""caiman"", ""caterpillar"", ""chameleon"", ""cobra"", ""crocodile"", ""eel"", ""fox"", ""frog"", ""gecko"", ""grasshopper"", ""lizard"", ""monitor lizard"", ""owl"", ""pheasant"", ""python"", ""snake"", ""submarine"", ""tank"", ""toad"", ""viper""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",187,22,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
54,v4_bccf257e1370987e,used in orchestras,"[""is used in orchestras"", ""often used in orchestras"", ""used in orchestras""]",B_4bb3b001e001,54,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bassoon"", ""cello"", ""clarinet"", ""cymbals"", ""double bass"", ""drum set"", ""flute"", ""harp"", ""saxophone"", ""trombone"", ""trumpet"", ""violin""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",547,12,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
55,v4_ebaeb7099a51782d,comes in different colors,"[""come in different colors"", ""comes in different colors""]",B_4bdba190f338,55,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""apron"", ""belt"", ""boots"", ""bra"", ""cap"", ""car"", ""chicken"", ""coat"", ""dress"", ""duck"", ""electric kettle"", ""file"", ""fridge"", ""hamster"", ""hat"", ""horse"", ""kettle"", ""kick scooter"", ""mug"", ""panties"", ""pants"", ""plate"", ""pyjamas"", ""recorder"", ""rope"", ""scissors"", ""shirt"", ""shoes"", ""shorts"", ""skirt"", ""socks"", ""sole"", ""sweater"", ""toaster"", ""towel""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",289,35,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
56,v4_3c5eeadd30feb8cf,endangered species,"[""endangered species""]",B_4d2d7c312712,56,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bison"", ""elephant"", ""lion"", ""polar bear"", ""rhinoceros"", ""sperm whale"", ""tiger"", ""whale"", ""zebra""]","[""A"", ""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",197,9,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
57,v4_fcd766561d411020,travels long distances,"[""can travel long distances"", ""is used for long-distance travel"", ""long distance travel"", ""travels long distances"", ""used for long-distance travel""]",B_4fa266e68f8f,57,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""(hot air) balloon"", ""airplane"", ""bus"", ""plane"", ""polar bear"", ""submarine"", ""train""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",351,7,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
58,v4_58a99be196fde59b,sharp teeth,"[""has sharp teeth"", ""sharp teeth""]",B_53f4d8e41037,58,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""alligator"", ""bat"", ""beaver"", ""caiman"", ""cat"", ""crocodile"", ""dinosaur"", ""dog"", ""eel"", ""fox"", ""hippopotamus"", ""iguana"", ""lion"", ""monitor lizard"", ""mouse"", ""orca"", ""pike"", ""piranha"", ""saw"", ""shark"", ""swordfish"", ""tiger"", ""wolf""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",812,23,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
59,v4_cc9a88a920deb982,can be kept as a pet,"[""can be kept as a pet"", ""can be kept as pets"", ""is often kept as a pet"", ""kept as a pet"", ""kept as pet"", ""kept as pets"", ""often kept as a pet"", ""often kept as pets""]",B_54e40a3a3d76,59,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""beetle"", ""boa"", ""canary"", ""cat"", ""centipede"", ""chameleon"", ""chicken"", ""cobra"", ""cricket"", ""cuckoo"", ""dog"", ""donkey"", ""duck"", ""eel"", ""gecko"", ""goldfish"", ""hamster"", ""hedgehog"", ""horse"", ""iguana"", ""kangaroo"", ""ladybug"", ""lizard"", ""monkey"", ""mouse"", ""parakeet"", ""parrot"", ""pig"", ""piranha"", ""python"", ""rabbit"", ""salamander"", ""snake"", ""toad"", ""tortoise"", ""turtle""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""functional_affordance""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",1111,36,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
60,v4_f4f8a40bd585e16d,used in construction,"[""is used in construction"", ""often used in construction"", ""used in construction""]",B_55d710d034ec,60,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""anvil"", ""axe"", ""chisel"", ""clamp"", ""crowbar"", ""drill"", ""grinding disc"", ""hammer"", ""level"", ""nail"", ""pickaxe"", ""rope"", ""saw"", ""screwdriver"", ""shovel"", ""sieve"", ""tractor"", ""trailer"", ""triangle"", ""truck"", ""wheelbarrow""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",503,21,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
61,v4_ecc098d995930b68,has horns,"[""has horns"", ""have horns"", ""horn"", ""horned"", ""horns""]",B_55f554225553,61,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bison"", ""cow"", ""rhinoceros"", ""sheep""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",143,4,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
62,v4_96775fda704d884e,handlebars,"[""handlebars"", ""has a handlebar"", ""has handlebars""]",B_59434dc7e503,62,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bicycle"", ""kick scooter"", ""motorbike"", ""motorcycle"", ""scooter""]","[""B"", ""C""]","[""Qwen2.5-72B-Instruct""]","[""0""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0""]",55,5,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
63,v4_9418b2422cfa1593,worn by women,"[""commonly worn by women"", ""often worn by women"", ""typically worn by women"", ""worn by women""]",B_5b0c0f95bfcf,63,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blouse"", ""bra"", ""dress"", ""panties"", ""skirt""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",192,5,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
64,v4_8ba6b9ec93cf61b6,is a predator,"[""is a predator"", ""predator""]",B_5d3676b0fbc9,64,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""caiman"", ""centipede"", ""cobra"", ""crocodile"", ""dolphin"", ""eel"", ""fox"", ""lion"", ""orca"", ""shark"", ""snake"", ""tiger"", ""viper"", ""wasp"", ""wolf""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",190,15,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
65,v4_a42ab3730d593df6,small bird,"[""small bird""]",B_5d4266a6d3cc,65,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""blackbird"", ""canary"", ""chickadee"", ""dove"", ""parakeet"", ""robin"", ""sparrow"", ""swallow""]","[""A"", ""B"", ""C"", ""first_to_mind"", ""perceptual_structural""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",694,8,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
66,v4_4059d15783e70664,used in kitchens,"[""often used in kitchens"", ""often used in the kitchen"", ""used in kitchen"", ""used in kitchens"", ""used in the kitchen""]",B_5dea407323e2,66,v4-proposition-exact-1,imported_locked_v3_1_b,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f,"[""bowl"", ""can opener"", ""colander"", ""electric kettle"", ""fridge"", ""kettle"", ""knife"", ""microwave oven"", ""mixer"", ""mug"", ""nutcracker"", ""pan"", ""percolator"", ""pot"", ""scales"", ""spatula"", ""toaster"", ""tongs"", ""wire brush""]","[""A"", ""B"", ""C"", ""first_to_mind""]","[""Qwen2.5-72B-Instruct""]","[""0"", ""1""]","[""v3_1_qwen2_5_72b_round0"", ""v3_qwen2_5_72b_round0"", ""v4_qwen2_5_72b_round1""]",183,19,1,316113ab46aea52cf5dc03d32c1d7d50d30658a7a42d56b6d5ba6043616cc55f
