candidate_id,canonical_feature_text,human_feature,human_feature_retained,mapping_method
v4_12b91ccafc0ceddc,cricket wings are used for both chirping and flying,,False,
v4_148226b09f7717e9,cricket wings are used for both flying and producing sound,,False,
v4_58f7bfd47c86c7a4,cricket wings are used not only for flying but also for producing sound through stridulation,,False,
v4_2a1684208b0b1dbf,cricket wings enable short flights for some species,,False,
v4_0ed9751f31042c77,cricket wings rub together to produce sound,,False,
v4_7ee09c0561d528f2,crickets are a food source for many predators,,False,
v4_b994e3be54b69a90,crickets are more active and louder during warmer temperatures,,False,
v4_a2d8154bb2a9c650,crickets are often associated with nighttime and solitude in literature,,False,
v4_76054dce1a04043b,crickets are often associated with rural or natural settings,,False,
v4_699dcf3153b7e020,crickets are often kept as pets in some cultures for their song,,False,
v4_051a4f30c030ed76,crickets can be attracted to areas with tall grass and debris,,False,
v4_5edc558e7797baaa,crickets can damage fabrics and paper,,False,
v4_d3a7e6d2a3d76dc3,crickets can indicate the presence of moist environments,,False,
v4_8470b667851c5781,crickets can regenerate lost limbs during molting,,False,
v4_7b81e052a8e44845,crickets can regenerate lost limbs during their molting process,,False,
v4_c5bb9d96da4d5a50,crickets can sometimes enter homes through small openings,,False,
v4_bdde8ae06b0218c4,crickets may attract predators such as birds and small mammals,,False,
v4_f530f67d0323a373,"crickets undergo incomplete metamorphosis, developing through stages without a pupal phase",,False,
v4_4afa14c3d95c741b,croaks,,False,
v4_8575ae2bf9d50d92,croaks at night,,False,
v4_b37aceb86c715a21,croaks loudly,,False,
v4_e0bd5e034059507f,croaks loudly at night,,False,
v4_e0e4cd441b9e9c67,croaks or chirps,,False,
v4_6776e5cfb3f5598b,croaks or makes low-pitched sounds,,False,
v4_90cd3a72f9e740c8,croaks to communicate,,False,
v4_c9b5118fcf02d939,crocodile belongs to the family crocodylidae,,False,
v4_1b3d46b9a9c4f488,crocodile can grow up to 23 feet in length,,False,
v4_03fcf77fc3cabadb,crocodile can hold its breath for extended periods,,False,
v4_82937c80aa58fed1,crocodile can hold its breath for extended periods underwater,,False,
v4_34635f829b1216f4,crocodile can regulate its body temperature behaviorally,,False,
v4_0e7961d6cb4ca5df,crocodile has a broad snout and powerful jaws,,False,
v4_12cfdc36d06c893e,"crocodile has a broad, flattened snout",,False,
v4_14cee806d6df1005,crocodile has a four-chambered heart,,False,
v4_83a4d3cfc0dd5513,"crocodile has a long, flattened body",,False,
v4_1c50cfc890d7aa8b,"crocodile has a long, flattened snout with numerous teeth",,False,
v4_37ffa5cd35b7cd52,"crocodile has a long, powerful tail",,False,
v4_9d1ce6df3e0cb0f2,"crocodile has a long, powerful tail used for swimming",,False,
v4_cc4171a0adfb7eca,crocodile has a semi-aquatic lifestyle,,False,
v4_8c98347958f39910,crocodile has a streamlined body for efficient swimming,,False,
v4_817f8f03c68ce721,crocodile has eyes and nostrils positioned on top of its head for stealth,,False,
v4_304cfbf333a1e3ea,"crocodile has scaly, armored skin",,False,
v4_1f704f63110811cd,crocodile has webbed feet for swimming and sharp claws for gripping prey,,False,
v4_898897bd77144fea,crocodile inhabits freshwater and brackish environments,,False,
v4_d73edae13e713127,"crocodile is a carnivore and feeds on fish, mammals, and birds",,False,
v4_458533c5c1412a37,crocodile is a carnivore with a varied diet,,False,
v4_92eaae8b36236990,crocodile is a large aquatic reptile,,False,
v4_8e90ef05ba6e99d7,crocodile is a large reptile,,False,
v4_575a92581907f052,crocodile is a reptile,,False,
v4_fb68652281896de2,crocodile is an ambush predator,,False,
v4_c032910c94fbbaeb,crocodile is an ectothermic vertebrate,,False,
v4_ff392f05e88a6c95,crocodile is cold-blooded,,False,
v4_b11ce5e54b802085,crocodile is cold-blooded and relies on external sources to regulate body temperature,,False,
v4_266b402c64fc9c89,crocodile is primarily aquatic,,False,
v4_632e2010823ff2fd,crocodile is primarily aquatic but can move on land,,False,
v4_219b2fc8b047366a,crocodile lays eggs,,False,
v4_1610ca4769654ab1,crocodile lays eggs and exhibits parental care,,False,
v4_fde56cf0dcaa610f,crocodile lays eggs and is oviparous,,False,
v4_e3e69fdf0689b744,crocodile possesses a heavily armored body for protection,,False,
v4_c89a0ccaed6685b5,"crocodile possesses a robust, armored body",,False,
v4_3f209377a707891b,crocodile-like,,False,
v4_1d781d542f1be81f,crocodiles ambush prey from the water's edge,,False,
v4_25a55e6acbe1e0e9,crocodiles are apex predators in their ecosystems,,False,
v4_81dcab1fa1c802db,"crocodiles are carnivorous and primarily feed on fish, birds, and mammals",,False,
v4_1d7f715b749fc998,crocodiles are closely related to alligators and caimans,,False,
v4_3d134b7dcce6ea83,crocodiles are cold-blooded and regulate their body temperature through the environment,,False,
v4_0a4526be7c162b5f,crocodiles are covered in armored scales for protection,,False,
v4_cc5387d56cfbe662,"crocodiles are covered in tough, armored skin",,False,
v4_eb3b2d19b2f271bb,crocodiles are excellent swimmers and can remain underwater for extended periods,,False,
v4_d76980db901b1b42,crocodiles are featured in folklore and mythology worldwide,,False,
v4_37e6924e9a273c57,crocodiles are found in tropical and subtropical regions,,False,
v4_90be7ee864c69b00,crocodiles are known for their aggressive hunting behavior,,False,
v4_3edda4b882f74a82,crocodiles are known for their powerful jaws and sharp teeth,,False,
v4_6ddcc44e6adb7df9,crocodiles are known for their powerful jaws and teeth,,False,
v4_6fecb20001cf6241,crocodiles are known to ambush prey from the water's edge,,False,
v4_fa8f5eded1708b89,crocodiles are known to ambush their prey from the water's edge,,False,
v4_e48599fe7d972ec6,"crocodiles are known to attack and eat large mammals, including humans",,False,
v4_9a259f83b13e7e79,crocodiles are known to swallow stones to aid in digestion and possibly to help control buoyancy,,False,
v4_5e6d99d0f15fdb30,crocodiles are known to swallow stones to help with digestion,,False,
v4_7e53fc5fe8faa746,crocodiles are known to use tools to lure prey,,False,
v4_65d88d9fcd92c351,crocodiles are large aquatic reptiles found in tropical regions,,False,
v4_1d5acecfe70ebbfb,crocodiles are large reptiles found in tropical regions,,False,
v4_5101e58a5b77c8b9,crocodiles are large reptiles with armored skin,,False,
v4_526d8a818af31849,crocodiles are large reptiles with armored skin and powerful jaws,,False,
v4_e0c658f4402a3110,crocodiles are often associated with danger and fear in human cultures,,False,
v4_7813489217a39800,crocodiles are often avoided by humans due to their dangerous nature,,False,
v4_359f327193fdfb22,crocodiles are often featured in folklore and mythology,,False,
v4_89fedb74310da742,crocodiles are often found basking in the sun on riverbanks,,False,
v4_f1d219eb1ce4c6eb,crocodiles are often found basking in the sun to regulate their body temperature,,False,
v4_da52414e41e1ac36,crocodiles are often hunted for their skin and meat,,False,
v4_b7d77e478c11b4ac,"crocodiles are part of the order crocodylia, which includes alligators and caimans",,False,
v4_9bc13c5c750c4212,crocodiles are protected in many areas due to conservation efforts,,False,
v4_bdb8d1e2df28e497,crocodiles are protected species in many countries,,False,
v4_1f10edf73f4afb9f,crocodiles are sometimes hunted for their skin and meat,,False,
v4_fb54cdae31dc7df9,crocodiles are sometimes kept in zoos and wildlife parks,,False,
v4_43f2893743f59f69,crocodiles bask in the sun to regulate their body temperature,,False,
v4_1ade435357eec211,crocodiles can camouflage themselves in murky waters,,False,
v4_98d4139c3a7ad53c,crocodiles can camouflage themselves in murky waters to avoid detection,,False,
v4_17e09ebda80e696c,crocodiles can close their nostrils and ears to prevent water from entering while submerged,,False,
v4_1d8ae3b20c0992d6,crocodiles can communicate with each other through vocalizations and body movements,,False,
v4_72fcffc3c8a77a59,crocodiles can detect vibrations and ripples in the water,,False,
v4_c2ee63e26f2e31c7,crocodiles can detect vibrations and ripples in the water with sensory pits,,False,
v4_e676e4b242d3ba05,crocodiles can detect vibrations and ripples in the water with specialized sensory organs,,False,
v4_b6bdf8dafc88dee2,crocodiles can detect vibrations in the water with their integumentary sense organs,,False,
v4_3022b86350e39666,crocodiles can drag large prey into the water to drown it,,False,
v4_a09d6a1e099a7b68,crocodiles can lay up to 90 eggs in a single nest,,False,
v4_7130054e13260d82,crocodiles can live for several decades,,False,
v4_90b3f02c1a1e03b7,crocodiles can live in both freshwater and saltwater environments,,False,
v4_527c6171a0521010,"crocodiles can live in both freshwater and saltwater environments, adapting to various habitats",,False,
v4_fd69e2c6f0751f02,crocodiles can open their mouths underwater without swallowing water,,False,
v4_0f5166756c1da025,crocodiles can remain motionless for long periods while hunting,,False,
v4_9f7a742ea05bd7a4,crocodiles can remain submerged for extended periods due to their ability to slow their heart rate,,False,
v4_df959acfa41c105b,crocodiles can remain submerged for extended periods due to their slow metabolism,,False,
v4_038055a2a260c610,crocodiles can remain submerged for long periods,,False,
v4_53fbdff3145ae610,crocodiles can remain submerged underwater for extended periods,,False,
v4_4f71a2422dfeafc4,crocodiles can store large amounts of fat in their tails for times of scarcity,,False,
v4_81fe1c8700ec7243,crocodiles can survive for months without eating,,False,
v4_a0cb1b18c84bf76a,crocodiles can survive for months without eating if necessary,,False,
v4_e5dcf8f98073f0b9,crocodiles can swim swiftly using their tails for propulsion,,False,
v4_5243012bbaea7e1e,crocodiles can tolerate high levels of carbon dioxide in their blood,,False,
v4_5a02367de7c16875,"crocodiles can vocalize, producing sounds like hisses and grunts",,False,
v4_b76294d6851ad99e,crocodiles can walk on land using a high walk gait,,False,
v4_873be31a4914729b,"crocodiles communicate using vocalizations, body language, and chemical signals",,False,
v4_02924fb5a4ce02ee,crocodiles defend their territory against intruders,,False,
v4_70fb1f91eae24450,crocodiles drag prey into the water to drown it,,False,
v4_35ee23dc0c9516d5,crocodiles drag their prey into the water to drown it,,False,
v4_f0cf4ba18f3e1949,"crocodiles exhibit complex social behaviors, including vocalizations and territorial displays",,False,
v4_699384096b0a2cc7,"crocodiles exhibit parental care, with females guarding the nest and helping hatchlings",,False,
v4_c0d7269c8b632c34,crocodiles guard their nests and protect their young from predators,,False,
v4_b8c0f4847e759c2d,crocodiles have a complex social hierarchy within their groups,,False,
v4_8d6e56a10b73fb51,crocodiles have a diet consisting mainly of fish and small mammals,,False,
v4_1ea34f5333fdd8fa,crocodiles have a flexible lower jaw that allows them to open their mouth wide,,False,
v4_0ccc03ef1fe08831,"crocodiles have a four-chambered heart, similar to mammals and birds",,False,
v4_f3272f6551e0f57a,crocodiles have a fourth eyelid called a nictitating membrane,,False,
v4_276c1d29d3323e43,crocodiles have a layer of bony plates called osteoderms under their skin,,False,
v4_985ec11d24a560d4,crocodiles have a layer of fat that helps them survive during lean times,,False,
v4_18d8b314fbb4c760,crocodiles have a nictitating membrane that protects their eyes underwater,,False,
v4_aca1d426e83fa3c9,crocodiles have a powerful bite but limited jaw-opening muscles,,False,
v4_4bd889fdc4b5efbc,crocodiles have a powerful bite force used to capture and kill prey,,False,
v4_8b6fea5d937e3ae7,"crocodiles have a powerful bite force, one of the strongest among animals",,False,
v4_1fc81528a6577c9f,"crocodiles have a powerful bite force, one of the strongest among living animals",,False,
v4_502d359e04bf38af,crocodiles have a salt gland to excrete excess salt,,False,
v4_d2756e53463527bd,crocodiles have a social hierarchy within their groups,,False,
v4_87e53c1e0f2bcfd7,"crocodiles have a strong parental instinct, with females protecting their young",,False,
v4_317cbe9e29d1c932,"crocodiles have a strong sense of territoriality, especially during mating season",,False,
v4_563b7d35767d13bb,crocodiles have a temperature-dependent sex determination system,,False,
v4_516e3826ff917ef6,crocodiles have a third eyelid called a nictitating membrane,,False,
v4_d7907d29dc930da8,crocodiles have a third eyelid for protection underwater,,False,
v4_2a9153571e22e47a,crocodiles have a third eyelid for underwater vision,,False,
v4_91795e25a2e9dee0,crocodiles have a valve in their throat that closes to prevent water from entering their lungs while underwater,,False,
v4_31f1882887e1897b,crocodiles have excellent night vision and are primarily active during the night,,False,
v4_8109626e31aac471,"crocodiles have strong, serrated teeth designed for gripping and tearing prey",,False,
v4_0df5b7714ddfa85e,"crocodiles hunt and eat fish, birds, and mammals",,False,
v4_91c32d3cd90099c8,"crocodiles hunt and eat fish, birds, and small mammals",,False,
v4_9ed51a66d08a8fbf,crocodiles lay eggs and bury them in nests made of vegetation or sand,,False,
v4_fc1847a707264aa3,crocodiles lay eggs and exhibit parental care for their young,,False,
v4_4ab2f4f4918afc20,crocodiles lay eggs in nests on land,,False,
v4_50fc60e556f6c73e,crocodiles lay eggs in nests on land to reproduce,,False,
v4_b6821a75822cb9a8,"crocodiles lay eggs in nests on land, which they guard",,False,
v4_65b7c7a2f278c508,"crocodiles lay eggs, which are incubated in nests built by the female",,False,
v4_128e8245e89d049a,crocodiles often bask in the sun to regulate body temperature,,False,
v4_80a9f5f8b741a667,crocodiles often bask on riverbanks or sandbars,,False,
v4_9c749b0251924692,crocodiles often bask on riverbanks to regulate body temperature,,False,
v4_4ac84e457c658248,"crocodiles often float with only their eyes and nostrils above the water, reducing visibility to prey",,False,
v4_ccc86b65aedf810a,crocodiles often float with only their eyes and nostrils above water,,False,
v4_6651124a7cc052d1,crocodiles protect their young by carrying them in their mouths,,False,
v4_018a1e49c0d3ff0a,crocodiles protect their young from predators,,False,
v4_716d34e8a4fec5a5,crocodiles shed their skin as they grow,,False,
v4_c1a650aa645406a6,crocodiles use their sharp teeth to grasp and hold prey,,False,
v4_bacda964068e5dd5,crocodiles use their sharp teeth to tear flesh from prey,,False,
v4_5414e7856c54498a,crocodiles use their strong jaws to crush the shells of turtles and other hard-bodied prey,,False,
v4_2760dcbf447b7d56,crocodiles use their strong jaws to crush the shells of turtles and other hard-shelled prey,,False,
v4_85c54b57a0b52304,crocodiles use their tails for propulsion in water,,False,
v4_25210837a0eb4cb2,crocodiles use their tails for propulsion in water and balance on land,,False,
v4_597f1dfee61d4af4,crocodiles use vocalizations to communicate with each other,,False,
v4_65a2f3b0af759f53,crocodiles use vocalizations to communicate with others,,False,
v4_2cbcf4b563915514,crocodilian,,False,
v4_f93be704e88d56c0,crooked neck,,False,
v4_b81fd628c4fd2c0f,cross-platform,,False,
v4_e788e66e6f35bb6a,cross-platform compatibility,,False,
v4_0c5c6e7d2ecfc06d,crow belongs to the family corvidae,,False,
v4_9d2dd3d5c149aab3,crow belongs to the genus corvus,,False,
v4_e2f0c18c5d41c9da,"crow can adapt to various environments, including forests and deserts",,False,
v4_b9c68da6ec4c022c,crow can be distinguished from ravens by its smaller size and less robust bill,,False,
v4_3a563b08561365e9,crow caws loudly to communicate,,False,
v4_6a8a6cb655a8d291,crow communicates with a distinctive cawing sound,,False,
v4_c1b7b054b68081cc,crow competes with other birds for food resources,,False,
v4_55056f2cdc1b9830,"crow feeds on a variety of food, including insects, seeds, and carrion",,False,
v4_98dc16904b664f28,"crow feeds on a variety of foods, including insects and carrion",,False,
v4_ff57a5ac1eec4510,crow forms complex social structures,,False,
v4_fc8413e11cbd1a77,crow forms complex social structures and communicates with a range of vocalizations,,False,
v4_9440a22d19867511,crow frequently interacts with other bird species in territorial disputes,,False,
v4_f2eb82f15ff9a287,crow has a complex social structure and can form large flocks,,False,
v4_f74b376e24fb9675,crow has a distinctive cawing call,,False,
v4_6471e7d60a9de93d,"crow has a distinctive cawing call, which is used for communication",,False,
v4_97e48fad1f57f65f,"crow has a distinctive, harsh cawing call",,False,
v4_cc8e984c5c5d4210,crow has a lifespan that can exceed 15 years in the wild,,False,
v4_c073ab5cee4c8a38,crow has a strong memory and can recognize human faces,,False,
v4_c912aa3788d67b07,"crow has a strong, curved beak",,False,
v4_4738ec4606c32b9d,"crow has a strong, hooked beak adapted for tearing food",,False,
v4_f1d7fe82e924ebf6,"crow has a strong, robust body with broad wings and a fan-shaped tail",,False,
v4_6ab7ec68cb1c814d,crow has black plumage and a distinctive cawing call,,False,
v4_bf9a7a6bf069cc28,crow interacts with other birds and animals in its environment,,False,
v4_322e7e637b543d71,crow is a common sight in parks and fields,,False,
v4_bf7e2be3f54d73db,crow is a common sight in parks and open fields,,False,
v4_58c93cdea731b678,crow is a common sight near garbage dumps and picnic areas,,False,
v4_e8846f3576f3d06b,crow is a common subject in folklore and mythology,,False,
v4_57dbd311d7f6fde0,crow is a common symbol in folklore and mythology,,False,
v4_3348eb8d20ebfb78,crow is a migratory bird in some regions,,False,
v4_ac0bc6ae4272a922,crow is a passerine bird,,False,
v4_3be2ec8cdd4fff21,"crow is a passerine bird, belonging to the order passeriformes",,False,
v4_b23c692f26e7e965,"crow is a passerine bird, meaning it belongs to the order passeriformes",,False,
v4_ea8d7982c849c846,"crow is a passerine bird, meaning it has a perching foot",,False,
v4_ea8892f386445e21,crow is a predator of small animals and insects,,False,
v4_ce40bf4ab77399a0,crow is a scavenger that cleans up dead animals from the environment,,False,
v4_0225ef86c85c191d,"crow is a social animal, often living in groups called murders",,False,
v4_6a2771c5c4b51d96,crow is a social bird that can live in flocks or pairs,,False,
v4_36518ea4817b9a61,crow is a social bird that lives in groups,,False,
v4_f792b82f9b08e03d,crow is a species of bird,,False,
v4_7c9a2ca006d47f9d,crow is a symbol of bad omens in some traditions,,False,
v4_2f57dc69b4b55f43,"crow is a vocal bird, producing a variety of calls and sounds",,False,
v4_d876f440fb70ad0c,"crow is an omnivore, consuming both plant and animal matter",,False,
v4_9f61df4424997d6c,crow is an omnivorous animal,,False,
v4_201a3dd8ae270312,crow is an omnivorous bird with a varied diet,,False,
v4_b2b1120a33b2a55b,crow is capable of using tools to obtain food,,False,
v4_003e4d1cffb1607d,crow is capable of using tools to obtain food and solve tasks,,False,
v4_3c79e22343386940,crow is found in a variety of habitats worldwide,,False,
v4_c2a18249bc87adc0,crow is found in a wide range of habitats,,False,
v4_a9b96243fb1294f1,"crow is found in a wide range of habitats, including forests, fields, and urban areas",,False,
v4_a5479f2bfab9855b,crow is highly intelligent and adaptable,,False,
v4_06aac9eea0c40123,crow is highly intelligent and can use tools,,False,
v4_c8c2d3fadb3ef831,crow is known for its black plumage,,False,
v4_2df90e1b81d21ab6,"crow is known for its black plumage and strong, sharp beak",,False,
v4_664907b4cb60f504,crow is known for its intelligence among birds,,False,
v4_3b3af7c508e63727,crow is known for its intelligence and problem-solving skills,,False,
v4_fc3cb2dc28d87397,crow is often found near human settlements,,False,
v4_732fe954a40ea2ff,crow is often seen in flocks,,False,
v4_f1c11a79eeae51b6,crow is often seen perched on trees in urban and rural areas,,False,
v4_417430caa903b950,crow is preyed upon by larger birds of prey,,False,
v4_47d269e0ffb2e750,crow is recognized for its glossy black feathers,,False,
v4_9d43138d38c21a1f,crow is sometimes considered a pest by farmers,,False,
v4_7712a4bfd0d9d9ac,crow is sometimes considered a pest by farmers and gardeners,,False,
v4_701acfa13f495422,crow is sometimes hunted for sport or pest control,,False,
v4_8378eaf94bdc4a45,crow is sometimes kept as a pet in certain cultures,,False,
v4_9ab70dede86f7b84,crow is typically black in color,,False,
v4_ebb15213a1decade,crow is widely distributed across the northern hemisphere,,False,
v4_08640244c2d5b030,"crow is widespread across much of the world, including north america and eurasia",,False,
v4_496615cdadd04268,crow may steal shiny objects to decorate its nest,,False,
v4_99207824731976b6,"crow nests in tall trees, often near human settlements",,False,
v4_c3c8c4dd96475dfe,crow often forms communal roosts,,False,
v4_f22b93cde5e3cc68,crow often forms large communal roosts,,False,
v4_5eb708ac771f8029,"crow often forms large communal roosts, especially in winter",,False,
v4_2444d97dcadcde61,crow often lives in social groups,,False,
v4_e9889e1fb1261f5c,crow often scavenges in urban areas,,False,
v4_2568215d828f4037,crow plays a role in folklore and mythology,,False,
v4_7002a97c80c418f6,crow scavenges for food in urban areas,,False,
v4_7ef7addbab07b918,crowbar acts as a hammer to drive nails,,False,
v4_b51e1ee3ccc5f6a3,crowbar acts as a hammer to drive or remove nails,,False,
v4_9e56929eccd79a6d,crowbar aids in digging or breaking ground,,False,
v4_ed9e4761926ef0de,crowbar assists in rescue operations by clearing debris,,False,
v4_e79ddfcf99450a0b,crowbar bends and shapes metal objects,,False,
v4_a2d8a02fa1c76147,crowbar breaks through locks and chains,,False,
v4_c464a0b277f86f93,crowbar breaks through windows or walls,,False,
v4_7154facb7b2d009e,crowbar can be found in toolboxes,,False,
v4_bb676e8873824b7a,crowbar can be used to break into vehicles,,False,
v4_c991e1de240d4dbe,crowbar can be used to create leverage for tightening or loosening bolts,,False,
v4_c774cde41e841107,crowbar can be used to defend oneself,,False,
v4_ae9f046fc89cf1e9,crowbar can be used to dig or break up soil,,False,
v4_210b38dc277a60d4,crowbar can be used to remove nails from wood,,False,
v4_f8696175095e99d3,crowbar helps in demolition tasks,,False,
v4_c4a9db426d2cb1e6,crowbar is carried by some security personnel,,False,
v4_d079fb2e34dd1165,crowbar is featured in some video games,,False,
v4_811a8254f0c1b7f1,crowbar is occasionally used in home repairs,,False,
v4_a56a53736616c128,crowbar is often depicted in heist and crime scenes,,False,
v4_eefc56b71efb29b8,crowbar is often made of metal and has a wedge-shaped end,,False,
v4_9ec1abc4b2a295e4,crowbar is often used by locksmiths and first responders,,False,
v4_16d8897dffe0e66e,crowbar is sometimes associated with breaking and entering,,False,
v4_b8dbba9a085bc565,crowbar is sometimes used as a weapon in self-defense,,False,
v4_130364663c39edc3,crowbar is used in automotive repair to remove parts,,False,
v4_e3669ad01d846584,crowbar is used in safecracking and burglary,,False,
v4_3ad9792bdc1dff05,crowbar is used to break open stuck or rusted objects,,False,
v4_bba73acf62965b28,crowbar is used to pry open doors,,False,
v4_7575897e9ed7427a,crowbar lifts heavy objects like manhole covers,,False,
v4_080996fc36fb5d15,crowbar may be used in construction sites,,False,
v4_677037888f6b11e0,crowbar prises open locked doors,,False,
v4_6b65dec0b1b691df,crowbar separates tightly joined materials,,False,
v4_f1715ef1bd42c374,crowbar serves as a lever to move heavy items,,False,
v4_9765812f8dc3b3fe,crowbars are also known as wrecking bars or pry bars,,False,
v4_2880fe9540ed3164,crowbars are available in various lengths and weights,,False,
v4_c8459310cccdc294,crowbars are commonly associated with burglary and theft,,False,
v4_b65812c87c45cb70,crowbars are commonly made from high-strength steel for durability,,False,
v4_815ad4917aa77cb2,crowbars are commonly used in construction and demolition work,,False,
v4_31d871f2693df5a2,"crowbars are commonly used in construction, demolition, and locksmithing",,False,
v4_0cf5e2fc1e9b78a0,crowbars are depicted in movies and tv shows as a tool for breaking and entering,,False,
v4_b4ac5b059737e02b,crowbars are designed to withstand high amounts of force without bending or breaking,,False,
v4_5c1a4f4f74d751e2,crowbars are featured in survival games as a versatile tool,,False,
v4_75f68cdedfcb8b54,crowbars are frequently used by firefighters to pry open doors and windows,,False,
v4_73dc6a476d93c77d,crowbars are handheld tools designed for manual use,,False,
v4_1338d665cd9e3948,crowbars are made of durable metal to withstand force,,False,
v4_bb9b2849b56eb571,crowbars are occasionally used in competitive strength events,,False,
v4_4504987f130657b6,crowbars are occasionally used in home security to test window and door strength,,False,
v4_28676015b373abb4,crowbars are occasionally used in outdoor activities like camping for various tasks,,False,
v4_3967207cdcc0422a,crowbars are often depicted in media as tools for criminal activity,,False,
v4_607b987daa9bd950,crowbars are often featured in heist movies for breaking into safes,,False,
v4_d5e7c95c238bd07e,crowbars are often made of metal and have a flattened end for leverage,,False,
v4_d5e9d7f59eebf133,crowbars are often seen in scenes depicting forced entry or rescue operations,,False,
v4_2f076caf80052359,crowbars are often used alongside hammers and screwdrivers,,False,
v4_82445e31d44a3d2b,crowbars are often used by locksmiths to open doors,,False,
v4_d957e617495eb183,crowbars are often used by locksmiths to open locked doors,,False,
v4_d00300e37c324308,crowbars are often used in emergency situations to break through barriers,,False,
v4_4c0e0905edcddc6a,crowbars are sold in hardware stores and home improvement centers,,False,
v4_db45b41ee420d1f9,crowbars are sometimes featured in survival gear kits,,False,
v4_657336b43879cf2e,crowbars are sometimes used as simple weapons due to their sturdy construction,,False,
v4_83fb9a7f1ec53eb5,crowbars are sometimes used by burglars to break into buildings,,False,
v4_10206cdaba4a3305,crowbars are sometimes used by thieves to break into buildings,,False,
v4_8c9daec58e657acf,crowbars are sometimes used in art and sculpture for their shape and form,,False,
v4_0774d92a8a2d7fb1,crowbars are sometimes used in construction for prying apart materials,,False,
v4_7148cccab5da7385,crowbars are sometimes used in home security breaches,,False,
v4_4f04f4df506e9b81,crowbars are sometimes used in outdoor survival situations to pry open containers,,False,
v4_229e56f822c7cb71,crowbars are sometimes used in rescue operations to free trapped individuals,,False,
v4_25ba49f06ca54d32,crowbars are sometimes used in rescue operations to pry open vehicles or debris,,False,
v4_574d1e277fb47095,crowbars are sometimes used in self-defense,,False,
v4_7695cc3fb4bf21a2,crowbars are typically stored in workshops or garages,,False,
v4_4eb54eacb99beaec,crowbars are typically straight or have a curved end for better leverage,,False,
v4_b23bd8c044d2e2cc,crowbars are used by firefighters to break through barriers during rescues,,False,
v4_30b72b58d4baa0bb,crowbars are used by mechanics to move heavy objects or loosen tight parts,,False,
v4_8fac80f3aadacb88,crowbars are used by mechanics to pry open tight spaces,,False,
v4_8620b9cf708110c9,crowbars are used in construction to align and position large objects,,False,
v4_93856d3423395aea,crowbars are used in construction to remove nails or pry apart materials,,False,
v4_da2dfdaa3d866751,crowbars are used in demolition to remove nails and pry apart wooden structures,,False,
v4_3f019feeee1b14c1,crowbars are used in metal recycling to separate joined parts,,False,
v4_1cc2488f6b7c1011,crowbars are used in rescue operations to free trapped individuals,,False,
v4_25317413d029bf7c,crowbars are used in safecracking to force open locks,,False,
v4_285ddcd2c16277a9,crowbars are used in salvage operations to extract reusable materials,,False,
v4_283a82b03e018c51,crowbars are used in various manual labor tasks,,False,
v4_7e2adcb922f9d11b,crowbars are used to lever heavy objects or materials,,False,
v4_bc25d5ec6a9f0cbc,crowbars are used to pry open crates and boxes,,False,
v4_7a0b4f0c623ec093,crowbars can also be used as a simple lever to lift heavy objects,,False,
v4_6c26d9a9d78b33b3,crowbars can also be used to break through locked doors or windows,,False,
v4_d83eea08eb7b5693,crowbars can also be used to remove nails and extract objects from tight spaces,,False,
v4_323063a54bbbdf8d,crowbars can also serve as a simple lever or fulcrum,,False,
v4_314c5212b6c6832b,crowbars can be dangerous if not used properly,,False,
v4_400dceff0e9a5ea6,crowbars can be found in toolboxes alongside hammers and screwdrivers,,False,
v4_3130aceb82f04bd2,crowbars can be made from materials such as steel or iron,,False,
v4_3f5af589a609adbf,crowbars can be traced back to ancient tools used for similar purposes,,False,
v4_55905f37c07b1c32,crowbars can be used as a lever to lift heavy objects,,False,
v4_8fa7432dd6b0fbde,crowbars can be used as a simple lever in physics experiments,,False,
v4_60c682a70395c025,crowbars can be used as a simple lever to amplify force,,False,
v4_fe77f335023fc3f3,crowbars can be used as a simple lever to lift heavy objects,,False,
v4_f8ee9975aadbf5bc,crowbars can be used as a simple machine to multiply force,,False,
v4_fb70a79bc734908a,crowbars can be used to leverage heavy objects in moving tasks,,False,
v4_5ac660563339be40,crowbars can be used to open stubborn containers or remove nails,,False,
v4_1654163c90602175,crowbars can be used to pry open doors and windows,,False,
v4_eb6203d83d897122,"crowbars can be used to remove nails, break locks, and lift heavy objects",,False,
v4_0bd67cfbdd83f842,"crowbars have been in use since ancient times, with early versions made from wood or bone",,False,
v4_33612d5f546d8688,crowbars have been used since ancient times in various forms,,False,
v4_e53ca8889b12747e,crowbars vary in length and weight depending on their intended use,,False,
v4_87ae42b068a1a8c8,crowds often cheer loudly during important moments in cricket matches,,False,
v4_000ca44a600e2b9f,crowing sound,,False,
v4_87ce44d07b47fcd3,crown of head,,False,
v4_07ba1a1a20c1a524,crows are active during the day and roost at night,,False,
v4_4174f97bf336684f,crows are adaptable and can thrive in diverse environments,,False,
v4_3dc9a9b6d7a9091a,crows are associated with intelligence and cunning in folklore,,False,
v4_f86d15b71f27403b,crows are associated with superstitions and omens in many cultures,,False,
v4_0d850bbe06f2c00a,crows are common in folklore and mythology,,False,
v4_3b7cd9c5b963f8ac,crows are common in north america and europe,,False,
v4_2bc8e3f9d5cc0937,crows are common subjects in folklore and mythology,,False,
v4_8af33a3d662f08d7,crows are considered highly intelligent among birds,,False,
v4_4fc0937723972708,"crows are found in a variety of habitats, including urban areas",,False,
